file,line,declaration,reference_offset_comment,current_offset,status
Core/scrThread.h,13,uint32_t					m_iThreadId;,0x0000,,reference comment only; current layout unknown
Core/scrThread.h,14,uint32_t					m_iScriptHash;,0x0004,,reference comment only; current layout unknown
Core/scrThread.h,15,eThreadState				m_State;,0x0008,,reference comment only; current layout unknown
Core/scrThread.h,16,uint32_t					m_iIP;,0x000C,,reference comment only; current layout unknown
Core/scrThread.h,17,uint32_t					m_iFrameSP;,0x0010,,reference comment only; current layout unknown
Core/scrThread.h,18,uint32_t					m_iSP;,0x0014,,reference comment only; current layout unknown
Core/scrThread.h,19,uint32_t					m_iTimerA;,0x0018,,reference comment only; current layout unknown
Core/scrThread.h,20,uint32_t					m_iTimerB;,0x001C,,reference comment only; current layout unknown
Core/scrThread.h,21,uint32_t					m_iTimerC;,0x0020,,reference comment only; current layout unknown
Core/scrThread.h,22,uint32_t					m_iUnk1;,0x0024,,reference comment only; current layout unknown
Core/scrThread.h,23,uint32_t					m_iUnk2;,0x0028,,reference comment only; current layout unknown
Core/scrThread.h,25,uint32_t					m_iSet1;,0x0060,,reference comment only; current layout unknown
Core/scrThread.h,32,scrThreadContext			m_Context;,0x0008,,reference comment only; current layout unknown
Core/scrThread.h,33,__int64						m_pStack;,0x00B0,,reference comment only; current layout unknown
Core/scrThread.h,35,char *						m_pszExitMessage;,0x00C8,,reference comment only; current layout unknown
Core/scrThread.h,53,void *						m_pScriptHandler;,0x0110,,reference comment only; current layout unknown
Core/scrThread.h,55,uint8_t						m_bFlag1;,0x0140,,reference comment only; current layout unknown
Core/scrThread.h,56,uint8_t						m_bNetworkFlag;,0x0141,,reference comment only; current layout unknown
GTA/CRage.h,92,char pad_0x0000[0x24C];,0x0000,,reference comment only; current layout unknown
GTA/CRage.h,93,_D3DMATRIX ViewPort;,0x024C,,reference comment only; current layout unknown
GTA/CRage.h,94,char pad_0x028C[0x1C4];,0x028C,,reference comment only; current layout unknown
GTA/CRage.h,95,__int32 Width;,0x0450,,reference comment only; current layout unknown
GTA/CRage.h,96,__int32 Height;,0x0454,,reference comment only; current layout unknown
GTA/CRage.h,111,CWorld* CWorldPtr;,0x0000,,reference comment only; current layout unknown
GTA/CRage.h,112,grcRenderTargetDX11* grcRenderTargetDX11Ptr;,0x0008,,reference comment only; current layout unknown
GTA/CRage.h,113,char pad_0x0010[0x8];,0x0010,,reference comment only; current layout unknown
GTA/CRage.h,114,CPedModelInfo* CPedModelInfoPtr;,0x0018,,reference comment only; current layout unknown
GTA/CRage.h,115,char pad_0x0020[0x8];,0x0020,,reference comment only; current layout unknown
GTA/CRage.h,116,grcTextureDX11* grcTextureDX11Ptr;,0x0028,,reference comment only; current layout unknown
GTA/CRage.h,124,CPed * CPedPtr;,0x0008,,reference comment only; current layout unknown
GTA/CRage.h,145,char pad_0x0008[0x18];,0x0008,,reference comment only; current layout unknown
GTA/CRage.h,146,CPedModelInfo* PedModelInfo;,0x0020,,reference comment only; current layout unknown
GTA/CRage.h,147,char pad_0x0028[0x8];,0x0028,,reference comment only; current layout unknown
GTA/CRage.h,148,phInstGta* phInstGtaPtr;,0x0030,,reference comment only; current layout unknown
GTA/CRage.h,149,char pad_0x0038[0x10];,0x0038,,reference comment only; current layout unknown
GTA/CRage.h,150,CPedDrawHandler* CPedDrawHandlerPtr;,0x0048,,reference comment only; current layout unknown
GTA/CRage.h,151,char pad_0x0050[0x40];,0x0050,,reference comment only; current layout unknown
GTA/CRage.h,152,CVector3 Position;,0x0090,,reference comment only; current layout unknown
GTA/CRage.h,153,char pad_0x009C[0x74];,0x009C,,reference comment only; current layout unknown
GTA/CRage.h,154,CVector3 Position2;,0x0110,,reference comment only; current layout unknown
GTA/CRage.h,155,char pad_0x011C[0x4];,0x011C,,reference comment only; current layout unknown
GTA/CRage.h,156,CVector3 Position3;,0x0120,,reference comment only; current layout unknown
GTA/CRage.h,157,char pad_0x012C[0x4];,0x012C,,reference comment only; current layout unknown
GTA/CRage.h,158,float Height;,0x0130,,reference comment only; current layout unknown
GTA/CRage.h,159,char pad_0x0134[0x2C];,0x0134,,reference comment only; current layout unknown
GTA/CRage.h,160,CVector3 Position4;,0x0160,,reference comment only; current layout unknown
GTA/CRage.h,161,char pad_0x016C[0x114];,0x016C,,reference comment only; current layout unknown
GTA/CRage.h,162,float Health;,0x0280,,reference comment only; current layout unknown
GTA/CRage.h,164,float MaxHealth;,0x0284,,reference comment only; current layout unknown
GTA/CRage.h,165,char pad_0x0284[0xE4];,0x0284,,reference comment only; current layout unknown
GTA/CRage.h,166,float float_1;,0x0368,,reference comment only; current layout unknown
GTA/CRage.h,167,float float_2;,0x036C,,reference comment only; current layout unknown
GTA/CRage.h,168,float float_3;,0x0370,,reference comment only; current layout unknown
GTA/CRage.h,169,float float_4;,0x0374,,reference comment only; current layout unknown
GTA/CRage.h,170,char pad_0x0378[0x1DC];,0x0378,,reference comment only; current layout unknown
GTA/CRage.h,171,float float_5;,0x0554,,reference comment only; current layout unknown
GTA/CRage.h,172,char pad_0x0558[0x20];,0x0558,,reference comment only; current layout unknown
GTA/CRage.h,173,float MoveSpeed;,0x0578,,reference comment only; current layout unknown
GTA/CRage.h,174,float MoveSpeed2;,0x0578,,reference comment only; current layout unknown
GTA/CRage.h,175,float MoveSpeed3;,0x0578,,reference comment only; current layout unknown
GTA/CRage.h,176,float MoveSpeed4;,0x0578,,reference comment only; current layout unknown
GTA/CRage.h,177,float WalkSpeed;,0x0588,,reference comment only; current layout unknown
GTA/CRage.h,178,char pad_0x058C[0x614];,0x058C,,reference comment only; current layout unknown
GTA/CRage.h,179,CBuilding* CBuildingPtr;,0x0BA0,,reference comment only; current layout unknown
GTA/CRage.h,180,char pad_0x0BA8[0x4D8];,0x0BA8,,reference comment only; current layout unknown
GTA/CRage.h,181,Tasks* TasksPtr;,0x1080,,reference comment only; current layout unknown
GTA/CRage.h,182,CPlayerInfo* CPlayerInfoPtr;,0x1088,,reference comment only; current layout unknown
GTA/CRage.h,183,CPedInventory* CPedInventoryPtr;,0x1090,,reference comment only; current layout unknown
GTA/CRage.h,184,CPedWeaponManager* CPedWeaponManagerPtr;,0x1098,,reference comment only; current layout unknown
GTA/CRage.h,185,char pad_0x10A0[0x2A0];,0x10A0,,reference comment only; current layout unknown
GTA/CRage.h,186,CPedClothCollision* CPedClothCollisionPtr;,0x1340,,reference comment only; current layout unknown
GTA/CRage.h,187,char pad_0x1348[0x78];,0x1348,,reference comment only; current layout unknown
